design_order,design_id,suite,family_id,decision_type,title,decision_object,intervention_mechanism,primary_outcome,horizon,spatial_unit,binding_constraint_kind,evidence_gate_type,analysis_modes,required_source_roles,implementation_status,current_readiness,existing_template_ref,city_bindings,method_claimed,design_signature,content_hash
47,scenario.mobility.transit-reliability.network-disruption.v1,mobility-accessibility-operations,mobility.transit-reliability,stress-test,Stress-test transit continuity under network disruption,transit network disruption and continuity strategy,correlated fleet-network-demand disruption simulation,essential passenger-trips left without viable service,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|climate-hazard|geographic-identity|operating-capacity|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:b156ae73d54af48924496e57b62e4851fba7644af4a229e3caa9fdd6441836ad,sha256:e36a2cf7d656573958c8d2d4d4d8f5e273f75faffa417f7e589be7668143d248
48,scenario.mobility.transit-reliability.priority-lane-effect.v1,mobility-accessibility-operations,mobility.transit-reliability,evaluate,Evaluate transit priority and schedule redesign,phased transit-priority and timetable intervention,route-level event-study with comparable untreated corridors,change in passenger-weighted reliable travel time,multi-year,corridor,equity,causal-identification,descriptive|causal,equity-attribute|geographic-identity|intervention-assignment|outcome-panel|real-time-state|service-schedule|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:54d7486501d89644390ec2e912e54383e7c2d506bcef72913eca5d99f2d30aa9,sha256:b6007173c84598f4aa412ce2ab59d3820d44a3466716254daeddb9e1fe8af843
49,scenario.mobility.pedestrian-safety.accessible-route-breaks.v1,mobility-accessibility-operations,mobility.pedestrian-safety,diagnose,Diagnose pedestrian safety and accessible-route breaks,continuous pedestrian safety and accessibility barriers,route-level barrier and conflict topology diagnosis,essential destinations without a continuous safe accessible route,annual,network,technical,geographic-alignment,descriptive,asset-condition|asset-inventory|equity-attribute|geographic-identity|municipal-demand|transport-network,reference-implemented,reference-implemented,deep.mobility.accessibility-request.v1,0,false,sha256:91e6adc8fd7662d1cd9c51da94e51bd88e9c05f5307d33404993a83f4d1b9151,sha256:496e0e0ddd7f8c5fb2f52916b168542ef6bf7d737dadf6dbc80bddb2faa0791a
50,scenario.mobility.pedestrian-safety.pedestrian-conflict-risk.v1,mobility-accessibility-operations,mobility.pedestrian-safety,forecast,Forecast pedestrian conflict and barrier demand,corridor-time pedestrian conflict and barrier demand,exposure-conditioned conflict and service-demand forecasting,high-risk pedestrian-hours without preventive coverage,weeks,corridor,capacity,model-calibration,forecast,asset-inventory|environmental-exposure|geographic-identity|municipal-demand|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:ebff7d55f6cf7d09b45c831bfc135b618aadc63e7e0e48ab289736ffeb69af1f,sha256:e54a8696e30cd0971ba59ec79db92714c5149f2edce178a8c5d8da1f44a21a72
51,scenario.mobility.pedestrian-safety.safety-accessibility-treatments.v1,mobility-accessibility-operations,mobility.pedestrian-safety,prioritize,Prioritize pedestrian safety and accessibility treatments,pedestrian safety and accessibility treatment portfolio,"exposure-, severity-, access-, and equity-weighted project optimization",expected severe conflict and inaccessible-route burden,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|equity-attribute|financial-cost|geographic-identity|transport-network,design-only,blocked-missing-source,,0,false,sha256:5880945af8bf186f803fe54229eeedae1ce94f0f1c5a23ad1a6353fc28ceadd2,sha256:d814b47fe4f80f6f9480b0be428adb268ef3f71360fe0dfa6c6cbcb4956c23be
52,scenario.mobility.pedestrian-safety.safe-crossings.v1,mobility-accessibility-operations,mobility.pedestrian-safety,site,Site safe crossings and accessible route connections,safe crossing and accessible-route connection locations,pedestrian network gap location-allocation analysis,high-demand crossings without a safe accessible connection,multi-year,corridor,regulatory,legal-authority,simulation|optimization,asset-inventory|equity-attribute|geographic-identity|land-parcel|legal-regulatory|transport-network,design-only,blocked-missing-source,,0,false,sha256:7945e8610e9cc8595911204489e02fe8676ee8bfb3fe7cd0f8ad85abef4c015a,sha256:4e24256ea1f887e6bc6d9115e73301151b53e7073538d2cde8cf179572bfeee6
53,scenario.mobility.pedestrian-safety.inspection-quick-build.v1,mobility-accessibility-operations,mobility.pedestrian-safety,allocate,Allocate inspections and quick-build safety resources,pedestrian inspection and quick-build resources,minimum-access and severity-constrained crew allocation,verified high-consequence barriers without assigned response,weeks,service-area,equity,equity-measurement,simulation|optimization,asset-inventory|equity-attribute|geographic-identity|municipal-demand|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:cdaa7a19032fd3b386282cffff84154f86a326d0903afe2d9b58cc521e8d2df9,sha256:d041b7a23fdbb6d3bff0959f02fe8df219b38ab7b53f3fab54113f66aa1d58b4
54,scenario.mobility.pedestrian-safety.right-of-way-work.v1,mobility-accessibility-operations,mobility.pedestrian-safety,schedule,"Schedule sidewalk, crossing, and signal work",pedestrian right-of-way inspection and repair schedule,dependency-aware work-window scheduling,high-consequence barrier-days awaiting verified completion,weeks,asset,time,temporal-alignment,forecast|optimization,asset-condition|asset-inventory|geographic-identity|operating-capacity|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:e4a5062b83dc51a27b9279ba45a97f7d19c8a1d915ef00ac4d18a93331155746,sha256:58e54b6e6eeb8cf7463036162d87100639f19481d7a6270a4b70c5cf490fa0ee
55,scenario.mobility.pedestrian-safety.accessible-detours.v1,mobility-accessibility-operations,mobility.pedestrian-safety,stress-test,Stress-test accessible routes during closures and hazards,accessible pedestrian continuity under closures,mobility-profile network failure and detour simulation,essential destinations unreachable by an accessible detour,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-inventory|climate-hazard|facility-inventory|geographic-identity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:0ccef0fa2c71952b1d9c9eefb78362832c20ca75efa933574812860d2489469e,sha256:bff4c61046267e5240079d2b5356246f1a7de717d45f610f9e0b5d75ebd6bcc6
56,scenario.mobility.pedestrian-safety.quick-build-safety-effect.v1,mobility-accessibility-operations,mobility.pedestrian-safety,evaluate,Evaluate quick-build pedestrian safety treatments,phased quick-build pedestrian safety treatment,matched corridor event-study with exposure measurement,change in exposure-normalized severe pedestrian conflicts,multi-year,corridor,equity,causal-identification,descriptive|causal,asset-inventory|environmental-exposure|equity-attribute|geographic-identity|intervention-assignment|outcome-panel|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:4b908d30edc8319223e493f9a932e42549668281d985178a910b4dcdec575c0f,sha256:1abe6c9486cd690155c143ea8abbe992f8f4acdf3bb2ded68c4b8b742080a857
57,scenario.mobility.freight-curb.curb-friction.v1,mobility-accessibility-operations,mobility.freight-curb,diagnose,Diagnose curb conflict and freight-access friction,curb-segment freight and public-access conflicts,time-resolved curb use and regulation reconciliation,commercial stops without legal usable curb access,annual,corridor,technical,geographic-alignment,descriptive,asset-inventory|geographic-identity|legal-regulatory|municipal-demand|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:d1d58d751fc03d08d47edfdc2f9db9ef6260ba3f4a41d1b5622554250ef9fe93,sha256:2740606786f1da7e3cbfc001383766285d79959efb30eba5cc1af8341f59933e
58,scenario.mobility.freight-curb.loading-demand.v1,mobility-accessibility-operations,mobility.freight-curb,forecast,Forecast loading demand and curb occupancy,block-time freight loading demand and curb occupancy,land-use and event-conditioned curb demand forecasting,delivery-minutes without legal loading capacity,weeks,corridor,capacity,model-calibration,forecast,geographic-identity|land-parcel|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:19981a3aa0b82411b6b2d50b8efef822cd1e29c0df66ac7f97c76de0dbac9cce,sha256:61f680f2d708846fccd19b23042a499c4a80cb9ece30f2aa5037618254def24b
59,scenario.mobility.freight-curb.curb-conversion-portfolio.v1,mobility-accessibility-operations,mobility.freight-curb,prioritize,Prioritize curb conversion and loading investments,curb conversion and freight-access investment portfolio,multi-objective curb project prioritization,freight delay and safety conflict burden,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-inventory|equity-attribute|financial-cost|geographic-identity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:c40df66a77917ead708010f7816014c2c76be43d1ab7610a88baeed42649aecc,sha256:def3a7848db401dab995a5f6518afc3d5220b09a8899dec08f1a35f7de338ca4
60,scenario.mobility.freight-curb.microhubs-loading-zones.v1,mobility-accessibility-operations,mobility.freight-curb,site,Site freight microhubs and loading zones,urban freight microhub and loading-zone locations,network and parcel-constrained consolidation siting,freight demand beyond compliant loading or consolidation access,multi-year,parcel,regulatory,legal-authority,simulation|optimization,financial-cost|geographic-identity|land-parcel|legal-regulatory|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:442aa62b750cc67ec801e69c4aec34b3944eedc86d7270462527ea65ca42be50,sha256:27f2bcfbf56784ff1e00f8bb9e1f613333d0482724406f84dbfbf8bd3a103667
61,scenario.mobility.freight-curb.curb-space.v1,mobility-accessibility-operations,mobility.freight-curb,allocate,Allocate curb space across freight and public uses,time-specific curb frontage allocation,multi-use equity and safety constrained curb allocation,priority curb demand left unserved,weeks,corridor,equity,equity-measurement,simulation|optimization,community-input|equity-attribute|geographic-identity|legal-regulatory|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:c6611bc444c60f7fb3d8e08db98e96041bce118cf08c91b60bbee6c998f43d44,sha256:425ae895a02e72c2bfbfd76e8825b1d39f30eee3b76a7806b7e62dbda03ea9d8
62,scenario.mobility.freight-curb.loading-reservations.v1,mobility-accessibility-operations,mobility.freight-curb,schedule,Schedule loading reservations and curb regimes,dynamic curb-use and loading-reservation schedule,demand-responsive curb regime scheduling,unserved priority loading and access time,weeks,corridor,time,temporal-alignment,forecast|optimization,geographic-identity|legal-regulatory|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:dbc51c2841400dfb01fce7187723003e6bad2edf9068ca00f7a8b91f1221ecdd,sha256:881b750019d6dbd871c4e934364c3f0f2e00fb69c9792bcfcb5a36284115903f
63,scenario.mobility.freight-curb.freight-disruption.v1,mobility-accessibility-operations,mobility.freight-curb,stress-test,Stress-test urban freight under curb and network disruption,essential urban freight continuity under disruption,"delivery network, curb, and depot failure simulation",essential deliveries outside feasible time windows,seasonal,network,risk,external-validation,forecast|simulation|optimization,climate-hazard|facility-inventory|geographic-identity|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:fc00ddc4385b7883c266633ff60f14831ae638f3e85b26f897c754bba764ce21,sha256:e7488e7fad3c3df41bd5e39546fa908fde965e695c1c70c5ac8224251d250279
64,scenario.mobility.freight-curb.dynamic-curb-effect.v1,mobility-accessibility-operations,mobility.freight-curb,evaluate,Evaluate dynamic curb management,phased dynamic curb and loading reservation policy,matched block-time policy evaluation with spillover zones,change in legal loading success and conflict time,multi-year,corridor,equity,causal-identification,descriptive|causal,equity-attribute|geographic-identity|intervention-assignment|legal-regulatory|outcome-panel|real-time-state|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:f926023a6bbd41afc6f7220190747f639b2b83cdab92a97ef23a96e5adaddf0c,sha256:bbe63961a9a60acb07db7ed068477c4d1f8e9c9c8e6c14f4a5033254160f4424
65,scenario.mobility.emergency-mobility.evacuation-access-gaps.v1,mobility-accessibility-operations,mobility.emergency-mobility,diagnose,Diagnose evacuation and assisted-mobility gaps,evacuation and emergency-access gaps,hazard-aware multimodal accessibility and dependency diagnosis,at-risk people without a verified feasible mobility plan,annual,network,technical,geographic-alignment,descriptive,climate-hazard|equity-attribute|facility-inventory|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:bd0107a37a85a3d260e7af95aed16dfc590bee0066e6105d3d6f44740844e79c,sha256:a831a893c394f670ff78d969c9005e53858e4a088563fb3e32f01c4f8ac12335
66,scenario.mobility.emergency-mobility.clearance-demand.v1,mobility-accessibility-operations,mobility.emergency-mobility,forecast,Forecast evacuation demand and clearance time,hazard-specific evacuation demand and clearance time,departure-choice and dynamic network forecasting,people remaining in hazard areas after safe clearance time,weeks,network,capacity,model-calibration,forecast,climate-hazard|equity-attribute|geographic-identity|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:ce42127e1af46ad72ca368855e6bfd49a59915c1b76f49a33f156531d3912128,sha256:273223a6fde1d0106cf5efc70c8069c165254b560840b1ce3579aa979d422d89
67,scenario.mobility.emergency-mobility.evacuation-readiness.v1,mobility-accessibility-operations,mobility.emergency-mobility,prioritize,Prioritize emergency mobility readiness investments,emergency mobility readiness investment portfolio,multi-hazard clearance and equity portfolio optimization,expected people beyond safe clearance capacity,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|equity-attribute|financial-cost|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:5cac7071082c4f2aa5cdb786915e1934cab53196f73ab90f2f5ad7cb7fff1598,sha256:80c1f8a6a96e3fe58b54c0843a920ecac1a8ecdcdd0f93d8a1149b3243d3ceb5
68,scenario.mobility.emergency-mobility.pickup-transfer-points.v1,mobility-accessibility-operations,mobility.emergency-mobility,site,Site accessible evacuation pickup and transfer points,accessible evacuation pickup and transfer locations,multi-hazard capacitated pickup location-allocation,assistance-eligible people beyond safe pickup access,multi-year,facility,regulatory,legal-authority,simulation|optimization,climate-hazard|equity-attribute|facility-inventory|geographic-identity|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:8207358a1a03a8be66cb28c9bac622bab1597a0ceafe03f947ceeec01126c043,sha256:ea16d2fae897cced5add1b1b0e0cecb106bc42bea7ed256857fb591c9b399e45
69,scenario.mobility.emergency-mobility.assisted-transport.v1,mobility-accessibility-operations,mobility.emergency-mobility,allocate,Allocate accessible vehicles and emergency mobility teams,assisted evacuation vehicles and support teams,priority- and time-window-constrained fleet allocation,eligible evacuation needs without assigned transport,weeks,network,equity,equity-measurement,simulation|optimization,equity-attribute|geographic-identity|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:b7988d08647a02dcc8d668ef31b0699218e27fc2aa748ba268eec20d36d546ab,sha256:bc1fe71578c7ec2ab246840181ad1df4abe86063d432f55916b459e9cb6e4833
70,scenario.mobility.emergency-mobility.phased-evacuation.v1,mobility-accessibility-operations,mobility.emergency-mobility,schedule,Schedule phased multimodal evacuation,phased multimodal evacuation and responder-access schedule,clearance-time scheduling with protected responder flows,people uncleared when route safety thresholds are crossed,weeks,network,time,temporal-alignment,forecast|optimization,climate-hazard|geographic-identity|operating-capacity|real-time-state|service-schedule|transport-network,reference-implemented,reference-implemented,deep.mobility.real-time-reroute.v1,0,false,sha256:d70dcaab56f58605def4bac6f27d87d353799cee6fe9a4fd52a5972e8965f03d,sha256:b78921e1ed4a51e29624ff131bbf966e43adaf9d958ee987d60a39aed96d267b
71,scenario.mobility.emergency-mobility.evacuation-network-failure.v1,mobility-accessibility-operations,mobility.emergency-mobility,stress-test,Stress-test evacuation under correlated network failure,evacuation continuity under correlated network failure,dynamic multimodal network and fleet failure simulation,scenario-weighted people beyond safe clearance,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|climate-hazard|geographic-identity|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:f90751b9e5785a69173a2678221875c6a842130a421529752e1cd5c5a293deb8,sha256:61566b2563a7bc12cd26e4153027a9022dee7c89387b089a976a149a19d71362
72,scenario.mobility.emergency-mobility.evacuation-exercise-effect.v1,mobility-accessibility-operations,mobility.emergency-mobility,evaluate,Evaluate emergency mobility exercises and outreach,phased evacuation exercise and preparedness outreach,randomized encouragement and staggered exercise evaluation,change in verified preparedness task completion,multi-year,population-group,equity,causal-identification,descriptive|causal,community-input|equity-attribute|geographic-identity|intervention-assignment|operating-capacity|outcome-panel|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:3cf956c70ec03918e5ee6a16988c784068eaa596662facb219ca4955b3a88046,sha256:9c553bac3e7fc0aaab163e60f2c92b9a7a7b8b61a1c7de4931838aec305cbb5a
73,scenario.mobility.active-mobility.low-stress-network-gaps.v1,mobility-accessibility-operations,mobility.active-mobility,diagnose,Diagnose low-stress active-mobility network gaps,continuous low-stress walking and cycling network gaps,multimodal level-of-traffic-stress connectivity diagnosis,essential trips disconnected from a low-stress network,annual,network,technical,geographic-alignment,descriptive,asset-condition|asset-inventory|equity-attribute|geographic-identity|municipal-demand|transport-network,design-only,blocked-missing-source,,0,false,sha256:7fb0f73534c061f37be2f058e67180ba3b1e6990a8ca454e64bbfcc7fc17b33c,sha256:873d94353b7c7aaa9373714be8108d28a765006263e36e4aba7fa4e7ad8f0c09
74,scenario.mobility.active-mobility.active-trip-demand.v1,mobility-accessibility-operations,mobility.active-mobility,forecast,Forecast active and shared-mobility demand,active and shared-mobility trip demand,weather-event and land-use conditioned trip forecasting,trip requests without feasible vehicle or route capacity,weeks,network,capacity,model-calibration,forecast,asset-inventory|climate-hazard|geographic-identity|land-parcel|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:1518a542f9c8e1e9e00bc3f22a67f8dbccfb5e39ab1f4ddc3c2ca7c7380b2334,sha256:f4b000b1275a42a4e497d81c743309c68848c9257551c3be9ab45b7a9558f896
75,scenario.mobility.active-mobility.active-network-projects.v1,mobility-accessibility-operations,mobility.active-mobility,prioritize,Prioritize active-mobility network projects,active-mobility network project portfolio,"connectivity, safety, equity, and lifecycle project optimization",essential trips remaining outside a low-stress accessible network,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|asset-inventory|equity-attribute|financial-cost|geographic-identity|transport-network,design-only,blocked-missing-source,,0,false,sha256:1cdbc5be28d47395ef25bf4293720bc2b93a6f10575aabbf618f8aaaff6b4a8a,sha256:5a15f5879e476711c1aada33768658870994ff8e009f85788966d6561e605a58
76,scenario.mobility.active-mobility.shared-mobility-stations.v1,mobility-accessibility-operations,mobility.active-mobility,site,Site shared-mobility stations and secure parking,shared-mobility station and secure-parking locations,"demand-, access-, and right-of-way-constrained facility siting",residents beyond reliable shared-mobility access,multi-year,facility,regulatory,legal-authority,simulation|optimization,asset-inventory|equity-attribute|geographic-identity|land-parcel|legal-regulatory|transport-network,design-only,blocked-missing-source,,0,false,sha256:e3a249fffa740fbf07f61c5527bd4dd9a1c235e77f0bd158389e214484a96d6a,sha256:64a40def4298f85495b7882b7275fc710c5ca0d0730e70652dc5aacc24fa6fe2
77,scenario.mobility.active-mobility.shared-fleet.v1,mobility-accessibility-operations,mobility.active-mobility,allocate,"Allocate shared bicycles, devices, and charging capacity",shared-mobility fleet and charging capacity,minimum-access and demand-responsive fleet allocation,forecast trips without an available suitable vehicle,weeks,facility,equity,equity-measurement,simulation|optimization,asset-inventory|equity-attribute|geographic-identity|operating-capacity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:49fe1419b72d2b9f8bfbf9ab5cc32b43a1f7047c9a37f9ab7d74107015d52d07,sha256:95a3e46988632d5fff57bded1cca054a24800b83d89530949a38fbc46c897e9b
78,scenario.mobility.active-mobility.fleet-rebalancing.v1,mobility-accessibility-operations,mobility.active-mobility,schedule,Schedule shared-mobility rebalancing and maintenance,shared-mobility rebalancing and maintenance schedule,forecast-driven routing and maintenance scheduling,station-hours outside vehicle availability targets,weeks,network,time,temporal-alignment,forecast|optimization,asset-inventory|geographic-identity|operating-capacity|real-time-state|service-schedule|transport-network,design-only,blocked-missing-source,,0,false,sha256:6db5877219dfcda854affce9fd7c30768d9b5ced11b1085b09b4f3657aed5774,sha256:2ef24b3a1075886605c188ac65f04e749e220d8360b3e362f79b0883bd1f57a6
79,scenario.mobility.active-mobility.active-network-continuity.v1,mobility-accessibility-operations,mobility.active-mobility,stress-test,Stress-test active-mobility network continuity,active-mobility continuity under network and fleet disruption,"link-failure, weather, and fleet-availability simulation",essential trips without a low-stress feasible alternative,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|asset-inventory|climate-hazard|geographic-identity|real-time-state|transport-network,design-only,blocked-missing-source,,0,false,sha256:320fb477cef10f68ad6b546588bae694c1483f18480397c9e02de0dad55a77c3,sha256:188cf7e30b8b594c85c167fd46d21341973b1484e2c4427581415aad347a4302
80,scenario.mobility.active-mobility.protected-network-effect.v1,mobility-accessibility-operations,mobility.active-mobility,evaluate,Evaluate protected active-mobility network expansion,phased protected walking and cycling network expansion,corridor event-study with count and conflict panels,change in low-stress trips and exposure-normalized conflicts,multi-year,corridor,equity,causal-identification,descriptive|causal,asset-inventory|environmental-exposure|equity-attribute|geographic-identity|intervention-assignment|outcome-panel|transport-network,design-only,blocked-multiple-gates,,0,false,sha256:51607909ed55f628835927a9bea52d419a8b4cf899b1315be0467c58bdf0e580,sha256:70afff7f03eb2228b896af6a4638e97e7cd90780622946dd7511ce9efaf532fe
81,scenario.health.heat-health.heat-illness-patterns.v1,population-health-environmental-exposure,health.heat-health,diagnose,Diagnose heat-health surveillance patterns,heat-related syndrome and surveillance anomalies,exposure-linked spatiotemporal surveillance diagnosis,unexplained excess heat-related health events,annual,population-group,technical,geographic-alignment,descriptive,climate-hazard|demographic-context|environmental-exposure|equity-attribute|health-outcome,design-only,blocked-missing-source,,0,false,sha256:02c92b6e09d163d7513bc9d9ff672ebe2217671096fe947674e1e66bd4659ce1,sha256:0722914b8a70835cd41125a89b95eed0095dcc1ee66f81cbf935f702842e5fa3
82,scenario.health.heat-health.heat-care-demand.v1,population-health-environmental-exposure,health.heat-health,forecast,Forecast heat-related care and outreach demand,daily heat-health care and outreach demand,lag-aware heat-health workload forecasting,health-response demand above staffed capacity,weeks,service-area,capacity,model-calibration,forecast,climate-hazard|demographic-context|health-outcome|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:334fdff29da8e5d0e7c6dbae972baccfea865b2c6e1dcdfb7859ad81940446c7,sha256:85dfd602c32496feb933d05093ac1e14b36079bf23f8b2c659a5448eaa30d937
83,scenario.health.heat-health.heat-prevention-portfolio.v1,population-health-environmental-exposure,health.heat-health,prioritize,Prioritize heat-health prevention investments,heat-health prevention investment portfolio,"health-burden, equity, and deliverability portfolio optimization",expected preventable heat-health burden,multi-year,asset,budget,cost-capacity,descriptive|optimization,climate-hazard|demographic-context|equity-attribute|facility-inventory|financial-cost|health-outcome,design-only,blocked-missing-source,,0,false,sha256:80b5a3d699cd25ef2da1a1c70188fe91dd3225df3ac8f0a525d3875ce39a73c5,sha256:0de0268e9859e2b304324175014589bcbbdd9e6c00ed076c210860abb886125d
84,scenario.health.heat-health.heat-health-access-points.v1,population-health-environmental-exposure,health.heat-health,site,Site heat-health assessment and respite access points,heat-health assessment and referral locations,care-access facility location with clinical escalation constraints,high-risk residents beyond timely heat-health support,multi-year,facility,regulatory,legal-authority,simulation|optimization,climate-hazard|demographic-context|facility-inventory|health-outcome|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:5fec244d6c7bc006687d0db8f52d3ea440a269b76274c5cc1eb4a186d95b4912,sha256:8b22fc56cc7b39d9ea6689dcc9b6c3125a7f480cba7c0bcce6cc9f81c0dfbdd0
85,scenario.health.heat-health.heat-health-outreach.v1,population-health-environmental-exposure,health.heat-health,allocate,Allocate heat-health outreach and clinical surge support,heat-health outreach and surge resources,"risk-, access-, and minimum-coverage allocation",high-risk people without assigned support capacity,weeks,population-group,equity,equity-measurement,simulation|optimization,climate-hazard|demographic-context|equity-attribute|health-outcome|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:57fe8719e6a2e0f50a7267ff6c27bf27bd27261523bca385a803a7feec12c52e,sha256:0764ac776c8c0f41ed913c1fa0c2dbd277a90df47b41bdf3bb560768a2918ea6
86,scenario.health.heat-health.heat-health-surveillance.v1,population-health-environmental-exposure,health.heat-health,schedule,Schedule heat-health surveillance and response escalation,heat-health surveillance and escalation schedule,forecast- and syndrome-triggered operations scheduling,hours of high-risk conditions without active health response,weeks,citywide,time,temporal-alignment,forecast|optimization,climate-hazard|demographic-context|health-outcome|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:a7ee187056b3e0a9d1f511b17f4755f93607e74a3fd22ed7724920d1ae72b36e,sha256:12609f39c3e55ef7ac249920634bfea34fca359d2a0343e4ad5ff11d91b5f097
87,scenario.health.heat-health.heat-health-surge.v1,population-health-environmental-exposure,health.heat-health,stress-test,Stress-test heat-health surge capacity,heat-health system continuity under compound surge,"care-demand, power, facility, and staffing failure simulation",scenario-weighted unmet critical heat-health demand,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|climate-hazard|demographic-context|facility-inventory|health-outcome|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:5b25be1dd9afac13ec771f70313ac463edcc72f263f9f8706f5a882139ab71aa,sha256:774405c02113fdd6686a3df5a188e305bbc364bd9b6ae38427ee639013afe9e3
88,scenario.health.heat-health.heat-outreach-effect.v1,population-health-environmental-exposure,health.heat-health,evaluate,Evaluate targeted heat-health outreach,phased proactive heat-health outreach program,randomized encouragement or staggered rollout evaluation,change in verified heat-related emergency encounters,multi-year,population-group,equity,causal-identification,descriptive|causal,climate-hazard|community-input|demographic-context|equity-attribute|health-outcome|intervention-assignment|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:a9e0b268163ef500f3a564a1e624cb2a2726d76d589b61ec480763756305e530,sha256:824181e67fafde09655e56b4eaf676fbfa24a33e03b498455518e934a400d040
89,scenario.health.air-quality.exposure-health-discordance.v1,population-health-environmental-exposure,health.air-quality,diagnose,Diagnose environmental exposure and respiratory-health patterns,air-exposure and respiratory-health pattern discordance,"multi-source exposure, outcome, and reporting triangulation",unresolved high-exposure high-burden population,annual,neighborhood,technical,geographic-alignment,descriptive,demographic-context|environmental-exposure|equity-attribute|geographic-identity|health-outcome|municipal-demand,reference-implemented,reference-implemented,deep.health.environmental-request-screen.v1,0,false,sha256:6da859a0d3cc29552cebc51e432ee210e63700d6199d8d8244e14d37b57ea5e5,sha256:ffedba5c502f87aa73235803cb6887bfc51d474be7eab3c1021c14c9de08ef88
90,scenario.health.air-quality.respiratory-demand.v1,population-health-environmental-exposure,health.air-quality,forecast,Forecast air-quality alerts and respiratory service demand,daily pollution alert and respiratory service demand,weather-source and lag-conditioned joint forecasting,respiratory response demand above available capacity,weeks,service-area,capacity,model-calibration,forecast,climate-hazard|environmental-exposure|geographic-identity|health-outcome|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:007b91f73e42467c300f80699ecbc913719d8deada285e9cbedb86ceb19a6762,sha256:fdacd5d7b33ba49adad9446f7de0146e2c1471e82a8666ccc2efa1d3cc4183a2
91,scenario.health.air-quality.exposure-reduction-portfolio.v1,population-health-environmental-exposure,health.air-quality,prioritize,Prioritize air-exposure reduction investments,air-exposure reduction and health-protection portfolio,"source, exposure, equity, and lifecycle project optimization",population-weighted exposure above health-protection thresholds,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-inventory|environmental-exposure|equity-attribute|financial-cost|geographic-identity|health-outcome,design-only,blocked-missing-source,,0,false,sha256:4bea680bc0b51834556f0dc2571fee32bcde78d8c001b9ec9d1af93eb8d00be5,sha256:dea2ac696d18be9377a58d2c7d6c065fbf110f24a28d95efb0fc5f834c718e35
92,scenario.health.air-quality.monitor-protection-network.v1,population-health-environmental-exposure,health.air-quality,site,Site monitors and clean-air health resources,air-quality monitor and health-protection locations,uncertainty-aware sensor and facility co-location,high-risk population without representative monitoring or protection access,multi-year,facility,regulatory,legal-authority,simulation|optimization,environmental-exposure|equity-attribute|facility-inventory|geographic-identity|health-outcome|land-parcel,design-only,blocked-missing-source,,0,false,sha256:8cb85a3e26ba596df6f2a10671bc966569b6ab6333f2f72830bdead69bc69d7e,sha256:06b04d86a7425d39003ab91923fb701e8133b7c66dab93d650a5b80f1c3624e1
